year,education_spend_pct_gdp,gender_parity_enrollment,literacy_female,literacy_male,literacy_total,lower_secondary_completion_rate,primary_completion_rate
2000,4.32480001449585,0.802240014076233,,,,,75.279411315918
2001,,0.809880018234253,47.8400001525879,73.4100036621094,61.0099983215332,,74.7691879272461
2002,,0.830370008945465,,,,55.2153396606445,77.9369201660156
2003,3.61342000961304,0.915700018405914,,,,58.6993789672852,82.5344009399414
2004,3.35254001617432,,,,,,
2005,3.18876004219055,,,,,,
2006,3.14284992218018,,50.8199996948242,75.1900024414062,62.75,64.5084762573242,
2007,,0.942560017108917,,,,,
2008,,0.967050015926361,,,,69.8714370727539,97.7276763916016
2009,3.27824997901917,0.989970028400421,,,,,98.8512878417969
2010,3.377690076828,0.989049971103668,57.6517318985171,78.613691548483,68.325817300837,,
2011,3.79618000984192,0.998529970645905,59.2799987792969,78.879997253418,69.3000030517578,78.9787047633292,95.8912340766036
2012,3.8675000667572,1.00339996814728,59.9377489448701,79.4418362090107,69.8279300354369,,
2013,3.84467005729675,1.03569304943085,,,,82.4575020623288,96.9724810288294
2014,3.89878023242693,1.03251755237579,,,,86.9745843147787,99.0281030972801
2015,4.1145601272583,1.03027153015137,,,,86.1211897637251,99.9040031261847
2016,4.25406980514526,1.03045177459717,,,,86.2597112438317,99.3136774343373
2017,4.30543994903565,1.08402001857758,,,,85.9737227202048,98.5887118701809
2018,4.36374998092651,1.01533448696136,65.2235287519263,81.9915266673935,73.6883524760717,,
2019,3.89732003211975,1.01977431774139,66.9856882300986,82.7755272824041,74.8938629973395,86.7525787353516,96.2056732177734
2020,4.29335021972656,1.00732743740082,67.5732651200292,83.3278967147349,75.5270629470344,88.7661819458008,98.1474685668945
2021,4.62949991226196,0.991640269756317,68.2001669604087,83.8821930381623,76.0596617430205,90.2341568239864,99.085491664945
2022,4.09865814174589,,69.0999984741211,83.4499969482422,76.3199996948242,90.0373294435214,
2023,,,74.8600006103516,88.3099975585938,81.6999969482422,85.477406853637,93.4889604461665
2024,,,70.7386770919019,85.6937156128627,78.1625330351403,87.2821389864812,94.4876304742988
